대학명,학과명,전형명,년도,합격 등급
가야대,간호학과,일반학생전형,2025,3.5
가야대,간호학과,가야인재전형,2025,3.88
가야대,간호학과,지역인재전형,2025,3.75
가야대,간호학과,일반학생전형,2024,3
가야대,간호학과,가야인재전형,2024,3.75
가야대,간호학과,지역인재전형,2024,2
가야대,간호학과,일반학생전형,2023,3.75
가야대,간호학과,인문계고출신자전형,2023,3.5
가야대,간호학과,지역인재전형,2023,3.38
가야대,물리치료학과,가야인재전형,2025,4.25
가야대,물리치료학과,지역인재전형,2025,3.25
가야대,물리치료학과,일반학생전형,2023,1.38
가야대,물리치료학과,인문계고출신자전형,2023,4
가야대,물리치료학과,지역인재전형,2023,3.88
가야대,믈리치료학과,일반학생전형,2025,2.63
가야대,믈리치료학과,일반학생전형,2024,3.25
가야대,믈리치료학과,가야인재전형,2024,3.75
가야대,믈리치료학과,지역인재전형,2024,3.5
가야대,방사선학과,일반학생전형,2025,4.38
가야대,방사선학과,일반학생전형,2024,4.9
가야대,방사선학과,일반학생전형,2023,4.88
가야대,부동산금융재테크학과,일반학생전형,2025,5.63
가야대,부동산금융재테크학과,일반학생전형,2024,3.88
가야대,사회복지상담학과,일반학생전형,2025,
가야대,사회복지상담학과,일반학생전형,2024,7.7
가야대,사회복지상담학과,일반학생전형,2023,5.75
가야대,스포츠재활복지학과,일반학생전형,2025,5
가야대,스포츠재활복지학과,일반학생전형,2024,5.13
가야대,스포츠재활복지학과,일반학생전형,2023,4.75
가야대,작업치료학과,일반학생전형,2023,5.25
가야대,특수교육과,일반학생전형,2025,5.38
가야대,특수교육과,일반학생전형,2024,4.38
가야대,특수교육과,일반학생전형,2023,4.88
가천대,AI인문대학,학생부우수자전형,2025,3.06
가천대,간호학과,학생부우수자전형,2025,2.01
가천대,간호학과,지역균형전형,2025,4.1
가천대,간호학과,학생부우수자전형,2024,1.9
가천대,간호학과,지역균형전형,2024,2.22
가천대,간호학과,학생부우수자전형,2023,1.87
가천대,간호학과,지역균형전형,2023,2.24
가천대,건축학부,학생부우수자전형,2025,3.3
가천대,건축학부,지역균형전형,2025,
가천대,건축학부,학생부우수자전형,2024,2.77
