대학명,학과명,전형명,년도,합격 백분위
건국대,건축학부,KU일반학생전형,2024,89.25
건국대,경영학과,KU일반학생전형,2024,91.5
건국대,경제학과,KU일반학생전형,2024,81
건국대,교육공학과,KU일반학생전형,2024,79.5
건국대,국어국문학과,KU일반학생전형,2024,84
건국대,국제무역학과,KU일반학생전형,2024,88.25
건국대,글로벌비즈니스학과,KU일반학생전형,2024,83.75
건국대,기계항공공학부,KU일반학생전형,2024,85.25
건국대,기술경영학과,KU일반학생전형,2024,87.25
건국대,동물자원과학과,KU일반학생전형,2024,89.75
건국대,문화콘텐츠학과,KU일반학생전형,2024,83.5
건국대,물리학과,KU일반학생전형,2024,85.75
건국대,미디어커뮤니케이션학과,KU일반학생전형,2024,90.75
건국대,미래에너지공학과,KU일반학생전형,2024,89
건국대,부동산학과,KU일반학생전형,2024,89.25
건국대,사학과,KU일반학생전형,2024,87.25
건국대,사회환경공학부,KU일반학생전형,2024,82.5
건국대,산림조경학과,KU일반학생전형,2024,86.5
건국대,산업공학과,KU일반학생전형,2024,85.75
건국대,생명과학특성학과,KU일반학생전형,2024,88.25
건국대,생물공학과,KU일반학생전형,2024,89.75
건국대,수의예과,KU일반학생전형,2024,95.75
건국대,수학과,KU일반학생전형,2024,88.25
건국대,수학교육과,KU일반학생전형,2024,91.25
건국대,스마트ICT융합공학과,KU일반학생전형,2024,89
건국대,스마트운행체공학과,KU일반학생전형,2024,90.25
건국대,시스템생명공학과,KU일반학생전형,2024,90.25
건국대,식량자원과학과,KU일반학생전형,2024,87.5
건국대,식품유통공학과,KU일반학생전형,2024,90.5
건국대,영어교육과,KU일반학생전형,2024,89.5
건국대,영어영문학과,KU일반학생전형,2024,85
건국대,융합생명공학과,KU일반학생전형,2024,91.25
건국대,융합인재학과,KU일반학생전형,2024,81.5
건국대,응용통계학과,KU일반학생전형,2024,89
건국대,의상디자인학과-인문계,KU일반학생전형,2024,90.75
건국대,의생명공학과,KU일반학생전형,2024,92
건국대,일어교육과,KU일반학생전형,2024,89.75
건국대,전기전자공학부,KU일반학생전형,2024,87
건국대,정치외교학과,KU일반학생전형,2024,81
건국대,줄기세포재생공학과,KU일반학생전형,2024,88.75
건국대,중어중문학과,KU일반학생전형,2024,87.5
건국대,지리학과,KU일반학생전형,2024,81.25
건국대,철학과,KU일반학생전형,2024,91
건국대,축산식품생명공학과,KU일반학생전형,2024,87.25
건국대,컴퓨터공학부,KU일반학생전형,2024,90.5
건국대,행정학과,KU일반학생전형,2024,89.25
건국대,화장품공학과,KU일반학생전형,2024,87.75
건국대,화학공학부,KU일반학생전형,2024,92.25
건국대,화학과,KU일반학생전형,2024,87
건국대,환경보건과학과,KU일반학생전형,2024,90.25
춘천교대,초등교육과,강원교육인재,2024,75.17
춘천교대,초등교육과,강원교육인재전형,2023,77.83
고려대,가정교육과,교과우수전형,2024,92.83
고려대,간호대학,교과우수전형,2024,93.73
고려대,건축사회환경공학부,교과우수전형,2024,94.28
고려대,건축학과,교과우수전형,2024,93.33
고려대,경영대학,교과우수전형,2024,94.67
고려대,경제학과,교과우수전형,2024,93.82
고려대,교육학과,교과우수전형,2024,94
고려대,국어교육과,교과우수전형,2024,91.47
고려대,국어국문학과,교과우수전형,2024,91.5
고려대,기계공학부,교과우수전형,2024,95.37
고려대,노어노문학과,교과우수전형,2024,93.68
고려대,데이터과학과,교과우수전형,2024,94.48
고려대,독어독문학과,교과우수전형,2024,93.27
고려대,물리학과,교과우수전형,2024,94.17
고려대,미디어학부,교과우수전형,2024,94.37
고려대,바이오시스템의과학부,교과우수전형,2024,95.67
고려대,바이오의공학부,교과우수전형,2024,95.33
고려대,보건정책관리학부,교과우수전형,2024,92.77
고려대,보건환경융합과학부,교과우수전형,2024,94.13
고려대,불어불문학과,교과우수전형,2024,92.63
고려대,사학과,교과우수전형,2024,92.7
고려대,사회학과,교과우수전형,2024,94
고려대,산업경영공학부,교과우수전형,2024,95.25
고려대,생명공학부,교과우수전형,2024,95.43
고려대,생명과학부,교과우수전형,2024,95.17
고려대,서어서문학과,교과우수전형,2024,92.33
고려대,수학과,교과우수전형,2024,93.7
고려대,수학교육과,교과우수전형,2024,93.48
고려대,식품공학과,교과우수전형,2024,94.1
고려대,식품자원경제학과,교과우수전형,2024,94.75
고려대,신소재공학부,교과우수전형,2024,94.83
고려대,심리학부,교과우수전형,2024,93.97
고려대,영어교육과,교과우수전형,2024,92.67
고려대,영어영문학과,교과우수전형,2024,93.88
고려대,의과대학,교과우수전형,2024,99
고려대,일어일문학과,교과우수전형,2024,93.2
고려대,자유전공학부,교과우수전형,2024,95.67
고려대,전기전자공학부,교과우수전형,2024,95.33
고려대,정치외교학과,교과우수전형,2024,94.73
고려대,중어중문학과,교과우수전형,2024,91.75
고려대,지구환경과학과,교과우수전형,2024,93.67
고려대,지리교육과,교과우수전형,2024,93.78
고려대,철학과,교과우수전형,2024,93.7
고려대,컴퓨터학과,교과우수전형,2024,95.62
고려대,통계학과,교과우수전형,2024,94.97
고려대,행정학과,교과우수전형,2024,93.85
고려대,화공생명공학과,교과우수전형,2024,95.8
고려대,화학과,교과우수전형,2024,94.83
고려대,환경생태공학부,교과우수전형,2024,94.67
충남대,국토안보학전공(남자),국가안보융합전형,2024,63.7
충남대,국토안보학전공(여자),국가안보융합전형,2024,72.78
충남대,해양안보학전공(남자),국가안보융합전형,2024,64
충남대,해양안보학전공(여자),국가안보융합전형,2024,69.75
세종대,국방시스템공학과,국방시스템공학특별전형,2024,83.33
서경대,군사학과(남),군사학과특별전형,2024,55.2
서경대,군사학과(여),군사학과특별전형,2024,67.5
영남대,군사학과,군사학전형,2023,51
원광대,군사학과(남),군사학전형,2024,37
서울신대,기독교교육과,기독교전형,2024,69.4
서울신대,신학과,기독교전형,2024,61
한세대,섬유패션디자인학과,디자인전형,2024,60.67
한세대,시각정보디자인학과,디자인전형,2024,58
한세대,실내건축디자인학과,디자인전형,2024,57.67
대전신대,신학과,목회자추천자전형,2024,90.91
중부대,유아교육과,사범계전형,2024,61.5
중부대,특수교육과(유아특수교육),사범계전형,2024,75.5
중부대,특수교육과(중등특수교육),사범계전형,2024,83
중부대,특수교육과(초등특수교육),사범계전형,2024,86
신한대,사이버드론봇군사학과,사이버드론봇군사학전형,2023,79
호서대,간호학과,수능,2024,76.33
호서대,건축토목공학부,수능,2024,64.67
호서대,건축학과,수능,2024,73.33
호서대,게임소프트웨어학과,수능,2024,72.67
호서대,경영학부,수능,2024,65
호서대,글로벌통상학과,수능,2024,66.33
호서대,기계공학과,수능,2024,67.33
호서대,기독교학과,수능,2024,53
호서대,동물보건복지학과,수능,2024,69.67
호서대,디지털금융경영학과,수능,2024,65.67
호서대,문화영상학부,수능,2024,68.67
호서대,물리치료학과,수능,2024,77.67
호서대,미디어커뮤니케이션학과,수능,2024,72.33
호서대,미래자동차공학과,수능,2024,64
호서대,반도체공학과,수능,2024,69.33
호서대,법경찰행정학과,수능,2024,71
호서대,빅데이터AI학부,수능,2024,66.33
호서대,사회복지학부,수능,2024,63.67
호서대,산업심리학과,수능,2024,68
호서대,생명공학과,수능,2024,66.67
호서대,소방방재학과,수능,2024,67.67
호서대,시스템제어공학과,수능,2024,65.67
호서대,식품공학과,수능,2024,68
호서대,식품영양학과,수능,2024,62
호서대,안전공학과,수능,2024,65.67
호서대,영어영문학과,수능,2024,58.67
호서대,유아교육과,수능,2024,71
호서대,임상병리학과,수능,2024,70
호서대,전기공학과,수능,2024,63.33
호서대,전자공학과,수능,2024,69
호서대,전자재료공학과,수능,2024,66.67
호서대,정보통신공학부,수능,2024,67
호서대,제약공학과,수능,2024,69.67
호서대,중국학과,수능,2024,63.33
호서대,지능로봇학과,수능,2024,64.33
호서대,청소년문화·상담학과,수능,2024,67
호서대,컴퓨터공학부,수능,2024,72.33
호서대,한국언어문화학과,수능,2024,64
호서대,항공서비스학과,수능,2024,74.33
호서대,화장품과학과,수능,2024,65.67
호서대,화학공학과,수능,2024,65
호서대,환경공학과,수능,2024,64.67
한국교원대,가정교육과,수능성적우수자,2024,84.83
한국교원대,교육학과,수능성적우수자,2024,92.5
한국교원대,국어교육과,수능성적우수자,2024,87
한국교원대,기술교육과,수능성적우수자,2024,87
한국교원대,독어교육과,수능성적우수자,2024,84
한국교원대,물리교육과,수능성적우수자,2024,86.5
한국교원대,불어교육과,수능성적우수자,2024,77.83
한국교원대,생물교육과,수능성적우수자,2024,84.5
한국교원대,수학교육과,수능성적우수자,2024,92.83
한국교원대,역사교육과,수능성적우수자,2024,86
한국교원대,영어교육과,수능성적우수자,2024,85.5
한국교원대,유아교육과,수능성적우수자,2024,80.67
한국교원대,윤리교육과,수능성적우수자,2024,83.17
한국교원대,일반사회교육과,수능성적우수자,2024,85.67
한국교원대,중국어교육과,수능성적우수자,2024,85
